drain TotalCurrent(n2_des) X,drain TotalCurrent(n2_des) Y
0,-3.3257287e-22
0,9.7889152e-24
0,2.2566263e-13
0,6.2795831e-13
0,1.3178588e-12
0,2.3837724e-12
0,3.8072037e-12
0,5.3725765e-12
0,6.8554707e-12
0,7.6150775e-12
0.01,9.7530684e-12
0.03,1.6187077e-11
0.07,4.5590527e-11
0.12,1.7626991e-10
0.17,6.8248882e-10
0.22,2.4816447e-09
0.27,9.7266725e-09
0.32,4.1343604e-08
0.37,1.9684196e-07
0.42,1.0761195e-06
0.47,4.7702132e-06
0.52,1.3478944e-05
0.57,2.6484102e-05
0.62,4.1177555e-05
0.67,5.5157863e-05
0.72,6.7583478e-05
0.77,7.8347167e-05
0.82,8.7633077e-05
0.87,9.5680788e-05
0.92,0.00010271099
0.97,0.00010890841
1,0.00011229057

